常看 多源综合v26.1.31,#genre#
都市剧场,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00002022/index.m3u8
经典剧场,http://192.168.2.88:8888/udp/239.253.244.211:8000
经典电影,http://192.168.2.88:8888/udp/239.253.244.126:8000
武侠剧场,http://192.168.2.88:8888/udp/239.253.244.212:8000
家庭影院,http://192.168.2.88:8888/udp/239.253.244.218:8000
喜剧影院,http://192.168.2.88:8888/udp/239.253.244.220:8000
动作影院,http://192.168.2.88:8888/udp/239.253.244.221:8000
热播剧场,http://192.168.2.88:8888/udp/239.253.244.125:8000
经典香港电影,http://192.168.3.55:3566/625703337
抗战经典影片,http://192.168.3.55:3566/617432318
新片放映厅,http://192.168.3.55:3566/619495952
爱电影,http://192.168.2.88:8888/udp/239.253.244.128:8000
爱大剧,http://192.168.2.88:8888/udp/239.253.244.132:8000
城市剧场,http://192.168.2.88:8888/udp/239.253.244.201:8000
南方影视,http://192.168.3.55:3566/614961829
精彩影视高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00002012/index.m3u8
SiTV都市剧场,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000630/index.m3u8
4K,#genre#
CCTV4K超高清,http://192.168.2.88:8888/udp/239.253.244.122:8000
山东卫视4K超高清,http://192.168.2.88:8888/udp/239.253.244.172:8000
北京卫视4K超高清,http://192.168.2.88:8888/udp/239.253.244.200:8000
东方卫视4K超高清,http://192.168.2.88:8888/udp/239.253.244.176:8000
深圳卫视4K超高清,http://192.168.2.88:8888/udp/239.253.244.61:8000
广东卫视4K超高清,http://192.168.2.88:8888/udp/239.253.244.108:8000
湖南卫视4K超高清,http://192.168.2.88:8888/udp/239.253.244.28:8000
浙江卫视4K超高清,http://192.168.2.88:8888/udp/239.253.244.27:8000
江苏卫视4K超高清,http://192.168.2.88:8888/udp/239.253.244.133:8000
四川卫视4K超高清,http://192.168.2.88:8888/udp/239.253.244.123:8000
华数4K,http://192.168.2.88:8888/udp/239.253.244.102:8000
少儿,#genre#
CCTV14少儿,http://192.168.2.88:8888/udp/239.253.244.238:8000
CCTV14少儿,http://192.168.3.55:3566/624878440
CCTV14少儿,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000323/index.m3u8
卡酷少儿,http://192.168.2.88:8888/udp/239.253.244.61:8000
卡酷少儿,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000048/index.m3u8
优漫卡通,http://192.168.2.88:8888/udp/239.253.244.64:8000
哈哈炫动,http://192.168.2.88:8888/udp/239.253.244.63:8000
哈哈炫动,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000050/index.m3u8
嘉佳卡通,http://192.168.2.88:8888/udp/239.253.244.65:8000
嘉佳卡通,http://192.168.3.55:3566/614952364
动漫秀场高清,http://192.168.2.88:8888/udp/239.253.244.115:8000
动漫秀场高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00002000/index.m3u8
广东嘉佳卡通,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000074/index.m3u8
江苏优漫卡通,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000049/index.m3u8
金鹰卡通,http://192.168.2.88:8888/udp/239.253.244.62:8000
金鹰卡通,http://192.168.2.88:8888/udp/239.253.244.134:8000
金鹰卡通,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000047/index.m3u8
新动漫,http://192.168.2.88:8888/udp/239.253.244.157:8000
新动漫,http://192.168.3.55:3566/961930269
新动漫,http://192.168.2.88:8888/udp/239.253.244.149:8000
经典动画大集合,http://192.168.3.55:3566/629942219
教育,#genre#
CETV1,http://192.168.2.88:8888/udp/239.253.244.110:8000
CETV1,http://192.168.3.55:3566/923287154
CETV1,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000076/index.m3u8
CETV2,http://192.168.2.88:8888/udp/239.253.244.107:8000
CETV2,http://192.168.3.55:3566/923287211
CETV2,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000077/index.m3u8
CETV4,http://192.168.2.88:8888/udp/239.253.244.108:8000
CETV4,http://192.168.3.55:3566/923287339
CETV,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000070/index.m3u8
山东教育卫视,http://192.168.2.88:8888/udp/239.253.244.59:8000
山东教育卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000331/index.m3u8
中学生,http://192.168.2.88:8888/udp/239.253.244.163:8000
中学生,http://192.168.3.55:3566/708869532
山东教育,http://192.168.3.55:3566/609154353
金色学堂,http://192.168.2.88:8888/udp/239.253.244.101:8000
好学生,http://192.168.2.88:8888/udp/239.253.244.219:8000
体育,#genre#
爱体育,http://192.168.2.88:8888/udp/239.253.244.109:8000
赛事最经典,http://192.168.3.55:3566/646596895
体坛名栏汇,http://192.168.3.55:3566/629943305
四海钓鱼,http://192.168.3.55:3566/637444975
陕西体育休闲频道,http://192.168.3.55:3566/956909356
武术世界,http://192.168.3.55:3566/958475359
快乐垂钓,http://192.168.3.55:3566/961930263
辽宁广播电视台体育休闲频道,http://192.168.3.55:3566/962067526
先锋乒羽,http://192.168.2.88:8888/udp/239.253.244.155:8000
魅力足球,http://192.168.2.88:8888/udp/239.253.244.100:8000
外语,#genre#
CGTN,http://192.168.3.55:3566/609017205
CGTN,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000352/index.m3u8
CGTN英语,http://192.168.2.88:8888/udp/239.253.244.17:8000
CGTN纪录,http://192.168.2.88:8888/udp/239.253.244.188:8000
CGTN纪录,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000353/index.m3u8
CGTN外语纪录,http://192.168.3.55:3566/609006487
CGTN高清系列,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000009/index.m3u8
